email,spam
"Bonjour, nous avons des offres incroyables qui vous attendent. Ne manquez pas ces offres exclusives ! ",1
"Chère équipe, ceci est un rappel amical de notre réunion prévue pour demain à 10 heures. À demain ! ",0
Obtenez le corps dont vous avez toujours rêvé avec notre programme révolutionnaire de perte de poids. Agissez maintenant pour voir des résultats rapides ! ,1
"Bonjour à tous, vous et vos familles êtes invités à notre pique-nique annuel de l'entreprise. Rejoignez-nous pour une journée de plaisir et de jeux. ",0
Félicitations ! Vous êtes l'heureux gagnant d'un gain de loterie d'une valeur de 1 000 000 $. Réclamez votre gain en nous contactant dès maintenant. ,1
"Cher client, votre paiement pour la commande n°12345 a été traité avec succès. Vos articles seront bientôt expédiés. ",0
Gagnez facilement de l'argent depuis le confort de votre foyer. Aucune expérience requise. Commencez à gagner 500 $ par jour dès aujourd'hui ! ,1
La sécurité de votre compte est importante pour nous. Veuillez mettre à jour votre mot de passe pour assurer la protection de vos données. ,0
Dépêchez-vous ! Ne manquez pas cette offre incroyable. Obtenez 50 % de réduction sur toute l'électronique pour une durée limitée seulement. ,1
Nous vous invitons à notre gala de bienfaisance pour collecter des fonds pour une noble cause. Votre soutien peut faire la différence. ,0
Félicitations ! Vous avez gagné des vacances tout compris dans un paradis tropical. Contactez-nous pour réclamer votre prix. ,1
Restez informé de nos dernières actualités et offres. Découvrez dès maintenant l'édition de juillet de notre bulletin d'information. ,0
Découvrez les secrets pour devenir millionnaire en un rien de temps. Rejoignez notre programme pour devenir riche rapidement dès maintenant ! ,1
"Cher utilisateur, nous avons remarqué une activité inhabituelle sur votre compte. Veuillez vérifier vos informations pour éviter la suspension. ",0
Achetez des montres de luxe à des prix imbattables. Stocks limités disponibles. Faites vos achats maintenant et économisez ! ,1
"Besoin d'un prêt rapide ? Obtenez de l'argent facilement, sans enquête de crédit. Approuvé en quelques minutes seulement ! ",1
Une mise à jour importante est disponible pour votre logiciel. Veuillez installer la dernière version pour bénéficier de nouvelles fonctionnalités et améliorations. ,0
Notre système éprouvé peut vous aider à augmenter vos revenus de manière exponentielle. Commencez dès aujourd'hui pour obtenir des résultats remarquables. ,1
Vous êtes invité(e) à notre vente flash spéciale. Profitez de réductions exceptionnelles pendant 24 heures seulement. ,0
Obtenez une poitrine plus volumineuse grâce à notre produit naturel révolutionnaire. Essayez-le dès maintenant pour des résultats étonnants. ,1
Votre réservation pour le voyage prévu a été confirmée. Consultez les détails de votre itinéraire dans le document ci-joint. ,0
Améliorez vos compétences et boostez votre carrière avec nos formations en ligne de pointe. Inscrivez-vous dès maintenant. ,1
Action requise ! Votre compte est en cours de suspension en raison d'une activité suspecte. Veuillez rétablir l'accès en vérifiant vos informations. ,0
"Bonjour, nous sommes heureux de vous informer que votre colis est en route. Suivez le lien de suivi pour savoir quand il sera livré. ",0
Participez à notre tirage au sort et tentez de gagner un iPhone 12 dernier cri. C'est votre chance de posséder ce bijou technologique. ,1
Vous êtes invité(e) à notre soirée VIP de lancement où vous pourrez découvrir en avant-première nos nouveaux produits. ,0
Rencontrez de nouvelles personnes et élargissez votre cercle social grâce à notre application de réseautage. Téléchargez-la gratuitement dès maintenant. ,1
Votre facture mensuelle est maintenant disponible en ligne. Connectez-vous à votre compte pour consulter et régler le montant dû. ,0
Profitez de nos soldes d'été exceptionnels. Économisez jusqu'à 70% sur une large sélection de produits. ,0
Gagnez de l'argent facilement en encaissant des chèques depuis votre domicile. Inscrivez-vous maintenant pour commencer à gagner. ,1
